exchange_#,round,repeat_seq,actor,defender,offense_skill_chosen,offense_skill_value_at_roll,atk_roll,def_roll,atk_success,def_success,atk_margin,def_margin,outcome,effect_declared,location_index,zone,laterality,tag_check,resulting_staterecord,hp_alpha_after,hp_beta_after,pe_alpha_after,pe_beta_after,atk_overflow,def_overflow,atk_failure_xp,def_failure_xp,atk_advanced_skill_created,def_advanced_skill_created
1,1,1,Alpha,Beta,Attack,25,82,54,False,False,,,repeat-bothfail,,,,,,,600,600,118,146,0,0,57,29,,
2,1,2,Alpha,Beta,Attack,27,96,48,False,False,,,repeat-bothfail,,,,,,,600,600,72,148,0,0,69,22,,
3,1,3,Alpha,Beta,Attack,29,16,90,True,False,13,,attacker-wins,Inflict Injury,,,,,HP -13,600,587,106,108,0,0,0,64,,
4,1,1,Beta,Alpha,Attack,25,69,74,False,False,,,repeat-bothfail,,,,,,,600,587,82,89,0,0,44,49,,
5,1,2,Beta,Alpha,Attack,26,30,89,False,False,,,repeat-bothfail,,,,,,,593,587,50,109,0,7,4,63,,
6,1,3,Beta,Alpha,Attack,26,23,23,True,True,3,5,defender-wins,,,,,,,593,587,77,136,0,0,0,0,,
7,2,1,Alpha,Beta,Attack,29,96,42,False,False,,,repeat-bothfail,,,,,,,574,587,50,144,19,0,67,14,,
8,2,2,Alpha,Beta,Attack,31,63,94,False,False,,,repeat-bothfail,,,,,,,561,587,50,100,13,0,32,66,,
9,2,3,Alpha,Beta,Attack,32,65,39,False,False,,,repeat-bothfail,,,,,,,546,587,50,111,15,0,33,9,,
10,2,4,Alpha,Beta,Attack,33,4,3,True,True,29,27,attacker-wins,Inflict Injury,,,,,HP -2,546,585,96,150,0,0,0,0,,
11,2,1,Beta,Alpha,Attack,26,57,24,False,True,,4,defender-wins,,,,,,,546,585,122,143,0,0,31,0,,
12,3,1,Beta,Alpha,Attack,27,59,44,False,False,,,repeat-bothfail,,,,,,,546,585,128,134,0,0,32,16,,Defense-Adv1(T3)
13,3,2,Beta,Alpha,Attack,28,15,61,True,False,13,,attacker-wins,Inflict Injury,,,,,HP -13,533,585,117,150,0,0,0,33,,
14,3,1,Alpha,Beta,Attack,33,60,31,False,False,,,repeat-bothfail,,,,,,,533,585,107,150,0,0,27,1,,
