exchange_#,round,repeat_seq,actor,defender,offense_skill_chosen,offense_skill_value_at_roll,atk_roll,def_roll,atk_success,def_success,atk_margin,def_margin,outcome,effect_declared,location_index,zone,laterality,tag_check,resulting_staterecord,hp_alpha_after,hp_beta_after,pe_alpha_after,pe_beta_after,atk_overflow,def_overflow,atk_failure_xp,def_failure_xp,atk_advanced_skill_created,def_advanced_skill_created
1,1,1,Beta,Alpha,Grapple,25,40,49,False,False,,,repeat-bothfail,,,,,,,600,600,150,150,0,0,15,24,,
2,1,2,Beta,Alpha,Grapple,25,4,76,True,False,21,,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-2 Grappled Magnitude -2,600,600,124,150,0,0,0,51,,
3,1,1,Alpha,Beta,Grapple,25,2,89,True,False,23,,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-2 Grappled Magnitude -2,600,600,150,111,0,0,0,64,,
4,2,1,Beta,Alpha,Grapple,25,86,36,False,False,,,repeat-bothfail,,,,,,,600,600,150,75,0,0,61,9,,
5,2,2,Beta,Alpha,Grapple,27,97,42,False,False,,,repeat-bothfail,,,,,,,600,578,150,50,22,0,70,15,,
6,2,3,Beta,Alpha,Grapple,29,96,15,False,True,,12,defender-wins,,,,,,,600,532,150,50,46,0,67,0,,
7,2,1,Alpha,Beta,Grapple,25,8,7,True,True,17,20,defender-wins,,,,,,,600,532,150,93,0,0,0,0,,
8,3,1,Beta,Alpha,Grapple,31,4,3,True,True,27,24,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-1 Grappled Magnitude -1,600,532,150,139,0,0,0,0,,
9,3,1,Alpha,Beta,EquipmentDamage,25,88,67,False,False,,,repeat-bothfail,,,,,,,600,532,112,122,0,0,63,40,EquipmentDamage-Adv1(T3),
10,3,2,Alpha,Beta,EquipmentDamage,27,4,77,True,False,23,,attacker-wins,Equipment Damage,40,Torso,Right,pass,Location 40(Torso/Right) Tier-2 EquipmentDamaged Magnitude -2,600,532,150,95,0,0,0,49,,Defense-Adv1(T3)
11,4,1,Beta,Alpha,Grapple,31,71,80,False,False,,,repeat-bothfail,,,,,,,600,532,120,74,0,0,40,53,,
