replicate,exchange_#,round,repeat_seq,actor,defender,offense_skill_chosen,offense_skill_value_at_roll,atk_roll,def_roll,atk_success,def_success,atk_margin,def_margin,outcome,effect_declared,location_index,zone,laterality,tag_check,resulting_staterecord,hp_alpha_after,hp_beta_after,pe_alpha_after,pe_beta_after,atk_overflow,def_overflow,atk_failure_xp,def_failure_xp,atk_advanced_skill_created,def_advanced_skill_created
1,1,1,1,Beta,Alpha,Attack,25,68,6,False,True,,19,defender-wins,,,,,,,600,600,150,132,0,0,43,0,,
1,2,1,1,Alpha,Beta,Attack,25,48,37,False,False,,,repeat-bothfail,,,,,,,600,600,150,145,0,0,23,12,,
1,3,1,2,Alpha,Beta,Attack,25,56,81,False,False,,,repeat-bothfail,,,,,,,600,600,144,114,0,0,31,56,,
1,4,1,3,Alpha,Beta,Attack,26,84,57,False,False,,,repeat-bothfail,,,,,,,600,600,110,107,0,0,58,30,,
1,5,1,4,Alpha,Beta,Attack,28,89,10,False,True,,18,defender-wins,,,,,,,600,600,71,147,0,0,61,0,,
1,6,2,1,Beta,Alpha,Grapple,25,65,44,False,False,,,repeat-bothfail,,,,,,,600,600,77,132,0,0,40,19,,Defense-Adv1(T3)
1,7,2,2,Beta,Alpha,Grapple,26,49,34,False,False,,,repeat-bothfail,,,,,,,600,600,93,133,0,0,23,9,,
1,8,2,3,Beta,Alpha,Grapple,26,55,31,False,False,,,repeat-bothfail,,,,,,,600,600,112,128,0,0,29,6,Grapple-Adv1(T3),
1,9,2,4,Beta,Alpha,Grapple,27,42,50,False,False,,,repeat-bothfail,,,,,,,600,600,112,136,0,0,15,25,,
1,10,2,5,Beta,Alpha,Grapple,27,74,82,False,False,,,repeat-bothfail,,,,,,,600,600,80,112,0,0,47,56,,
1,11,2,6,Beta,Alpha,Grapple,28,50,33,False,False,,,repeat-bothfail,,,,,,,600,600,97,112,0,0,22,5,,Defense-Adv2(T3)
1,12,2,7,Beta,Alpha,Grapple,28,86,73,False,False,,,repeat-bothfail,,,,,,,600,600,74,76,0,0,58,45,,
1,13,2,8,Beta,Alpha,Grapple,30,95,64,False,False,,,repeat-bothfail,,,,,,,600,581,60,50,19,0,65,35,,
1,14,2,9,Beta,Alpha,Grapple,32,27,53,True,False,5,,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-2 Grappled Magnitude -2,600,581,57,73,0,0,0,23,,
1,15,2,1,Alpha,Beta,Grapple,25,59,32,False,False,,,repeat-bothfail,,,,,,,598,581,50,91,2,0,34,4,,
1,16,2,2,Alpha,Beta,Grapple,26,82,92,False,False,,,repeat-bothfail,,,,,,,566,580,50,50,32,1,56,64,,
1,17,2,3,Alpha,Beta,Grapple,28,71,80,False,False,,,repeat-bothfail,,,,,,,545,550,50,50,21,30,43,50,,
1,18,2,4,Alpha,Beta,Grapple,29,34,55,False,False,,,repeat-bothfail,,,,,,,545,545,66,50,0,5,5,24,,Defense-Adv2(T3)
1,19,2,5,Alpha,Beta,Grapple,29,46,54,False,False,,,repeat-bothfail,,,,,,,545,541,70,50,0,4,17,23,,
1,20,2,6,Alpha,Beta,Grapple,29,29,15,True,True,0,16,defender-wins,,,,,,,545,541,91,85,0,0,0,0,,
1,21,3,1,Alpha,Beta,Trip,25,32,38,False,False,,,repeat-bothfail,,,,,,,545,541,109,97,0,0,7,7,,
1,22,3,2,Alpha,Beta,Trip,25,19,41,True,False,6,,attacker-wins,Knock Prone,91,Head,Left,n/a,Location 91(Head/Left) Tier-2 Prone Magnitude -2,545,541,140,106,0,0,0,10,,
1,23,3,1,Beta,Alpha,Trip,25,44,19,False,True,,11,defender-wins,,,,,,,545,541,150,112,0,0,19,0,Trip-Adv3(T3),
1,24,4,1,Beta,Alpha,Disarm,25,35,79,False,False,,,repeat-bothfail,,,,,,,545,541,121,127,0,0,10,49,,
1,25,4,2,Beta,Alpha,Disarm,25,36,62,False,False,,,repeat-bothfail,,,,,,,545,541,109,141,0,0,11,31,,
1,26,4,3,Beta,Alpha,Disarm,25,56,19,False,True,,13,defender-wins,,,,,,,545,541,140,135,0,0,31,0,,
1,27,4,1,Alpha,Beta,Disarm,25,69,23,False,True,,8,defender-wins,,,,,,,545,541,121,150,0,0,44,0,,
1,28,5,1,Alpha,Beta,EquipmentDamage,25,75,16,False,True,,15,defender-wins,,,,,,,545,541,96,150,0,0,50,0,,
1,29,5,1,Beta,Alpha,EquipmentDamage,25,99,59,False,False,,,repeat-bothfail,,,,,,,545,541,87,101,0,0,74,27,EquipmentDamage-Adv4(T3),
1,30,5,2,Beta,Alpha,EquipmentDamage,27,90,2,False,True,,30,defender-wins,,,,,,,545,541,135,61,0,0,63,0,,
1,31,6,1,Alpha,Beta,Attack,30,5,81,True,False,25,,attacker-wins,Inflict Injury,,,,,HP -25,545,496,150,50,0,20,0,50,,
1,32,6,1,Beta,Alpha,Attack,26,79,15,False,True,,17,defender-wins,,,,,,,545,467,150,50,29,0,53,0,,
1,33,7,1,Beta,Alpha,Grapple,32,37,58,False,False,,,repeat-bothfail,,,,,,,545,467,142,63,0,0,5,26,,
1,34,7,2,Beta,Alpha,Grapple,32,7,31,True,True,25,1,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-1 Grappled Magnitude -1,545,467,150,106,0,0,0,0,,
1,35,7,1,Alpha,Beta,Grapple,29,15,77,True,False,14,,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-2 Grappled Magnitude -2,545,467,150,79,0,0,0,45,,Defense-Adv5(T3)
1,36,8,1,Alpha,Beta,Trip,25,50,31,False,True,,2,defender-wins,,,,,,,545,467,150,98,0,0,25,0,,
1,37,8,1,Beta,Alpha,Trip,25,25,26,True,True,0,6,defender-wins,,,,,,,545,467,150,123,0,0,0,0,,
1,38,9,1,Alpha,Beta,Disarm,26,45,3,False,True,,30,defender-wins,,,,,,,545,467,150,150,0,0,19,0,,
1,39,9,1,Beta,Alpha,Disarm,26,38,94,False,False,,,repeat-bothfail,,,,,,,545,467,106,150,0,0,12,62,,
1,40,9,2,Beta,Alpha,Disarm,26,21,12,True,True,5,21,defender-wins,,,,,,,545,467,144,150,0,0,0,0,,
1,41,10,1,Beta,Alpha,EquipmentDamage,29,28,82,True,False,1,,attacker-wins,Equipment Damage -> FAIL-AND-FALL-BACK -> Inflict Injury,82,Head,Right,fail-and-fall-back,"Fallback HP -1 (Base Inflict Injury, DEC-030)",544,467,112,150,0,0,0,49,,
1,42,10,1,Alpha,Beta,EquipmentDamage,26,79,70,False,False,,,repeat-bothfail,,,,,,,544,467,83,130,0,0,53,37,,
1,43,10,2,Alpha,Beta,EquipmentDamage,28,24,26,True,True,4,8,defender-wins,,,,,,,544,467,109,150,0,0,0,0,,
1,44,11,1,Beta,Alpha,Attack,28,56,33,False,True,,1,defender-wins,,,,,,,544,467,126,144,0,0,28,0,,
1,45,11,1,Alpha,Beta,Attack,30,28,49,True,False,2,,attacker-wins,Inflict Injury,,,,,HP -2,544,465,148,145,0,0,0,15,,
1,46,12,1,Alpha,Beta,Grapple,29,5,79,True,False,24,,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-2 Grappled Magnitude -2,544,465,150,116,0,0,0,45,,
1,47,12,1,Beta,Alpha,Grapple,32,50,47,False,False,,,repeat-bothfail,,,,,,,544,465,150,116,0,0,18,13,,
1,48,12,2,Beta,Alpha,Grapple,32,16,73,True,False,16,,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-2 Grappled Magnitude -2,544,465,127,150,0,0,0,39,,
1,49,13,1,Beta,Alpha,Trip,25,26,53,False,False,,,repeat-bothfail,,,,,,,544,465,124,150,0,0,1,18,,
1,50,13,2,Beta,Alpha,Trip,25,5,4,True,True,20,31,defender-wins,,,,,,,544,465,150,150,0,0,0,0,,
1,51,13,1,Alpha,Beta,Trip,26,12,61,True,False,14,,attacker-wins,Knock Prone,21,Legs,Left,n/a,Location 21(Legs/Left) Tier-2 Prone Magnitude -2,544,465,150,139,0,0,0,26,,
1,52,14,1,Alpha,Beta,Disarm,26,57,31,False,True,,4,defender-wins,,,,,,,544,465,143,150,0,0,31,0,,
1,53,14,1,Beta,Alpha,Disarm,26,19,78,True,False,7,,attacker-wins,Disarm/Break Hold -> FAIL-AND-FALL-BACK -> Inflict Injury,91,Head,Left,fail-and-fall-back,"Fallback HP -7 (Base Inflict Injury, DEC-030)",537,465,115,150,0,0,0,43,,
1,54,15,1,Alpha,Beta,EquipmentDamage,28,42,20,False,True,,15,defender-wins,,,,,,,537,465,123,150,0,0,14,0,,
1,55,15,1,Beta,Alpha,EquipmentDamage,29,34,42,False,False,,,repeat-bothfail,,,,,,,537,465,131,150,0,0,5,6,,
1,56,15,2,Beta,Alpha,EquipmentDamage,29,59,11,False,True,,25,defender-wins,,,,,,,537,465,150,141,0,0,30,0,,
1,57,16,1,Alpha,Beta,Attack,30,27,40,True,False,3,,attacker-wins,Inflict Injury,,,,,HP -3,537,462,150,150,0,0,0,5,,
1,58,16,1,Beta,Alpha,Attack,29,48,92,False,False,,,repeat-bothfail,,,,,,,537,462,108,150,0,0,19,56,,
1,59,16,2,Beta,Alpha,Attack,29,51,77,False,False,,,repeat-bothfail,,,,,,,537,462,81,149,0,0,22,40,,Defense-Adv3(T3)
1,60,16,3,Beta,Alpha,Attack,29,44,14,False,True,,24,defender-wins,,,,,,,537,462,117,150,0,0,15,0,Attack-Adv6(T3),
1,61,17,1,Alpha,Beta,Grapple,29,81,74,False,False,,,repeat-bothfail,,,,,,,537,462,86,126,0,0,52,39,,
1,62,17,2,Alpha,Beta,Grapple,30,100,8,False,True,,28,defender-wins,,,,,,,523,462,50,150,14,0,70,0,Grapple-Adv4(T3),
1,63,17,1,Beta,Alpha,Grapple,32,28,44,True,False,4,,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-2 Grappled Magnitude -2,523,462,56,150,0,0,0,6,,Defense-Adv5(T3)
1,64,18,1,Beta,Alpha,Trip,25,39,71,False,False,,,repeat-bothfail,,,,,,,508,462,50,150,0,15,14,33,,
1,65,18,2,Beta,Alpha,Trip,25,19,68,True,False,6,,attacker-wins,Knock Prone,91,Head,Left,n/a,Location 91(Head/Left) Tier-2 Prone Magnitude -2,490,462,50,150,0,18,0,30,,
1,66,18,1,Alpha,Beta,Trip,26,8,81,True,False,18,,attacker-wins,Knock Prone,80,Head,Right,n/a,Location 80(Head/Right) Tier-2 Prone Magnitude -2,490,462,92,119,0,0,0,45,,
1,67,19,1,Beta,Alpha,Disarm,26,69,72,False,False,,,repeat-bothfail,,,,,,,490,462,70,100,0,0,43,34,,
1,68,19,2,Beta,Alpha,Disarm,27,30,92,False,False,,,repeat-bothfail,,,,,,,468,462,50,120,0,22,3,54,,
1,69,19,3,Beta,Alpha,Disarm,27,57,71,False,False,,,repeat-bothfail,,,,,,,447,462,50,113,0,21,30,32,,
1,70,19,4,Beta,Alpha,Disarm,28,47,71,False,False,,,repeat-bothfail,,,,,,,426,462,50,116,0,21,19,32,,
1,71,19,5,Beta,Alpha,Disarm,28,29,39,False,True,,0,defender-wins,,,,,,,426,462,61,137,0,0,1,0,,
1,72,19,1,Alpha,Beta,Disarm,27,76,36,False,True,,1,defender-wins,,,,,,,411,462,50,150,15,0,49,0,,
1,73,20,1,Beta,Alpha,EquipmentDamage,30,59,8,False,True,,31,defender-wins,,,,,,,411,462,92,141,0,0,29,0,,
1,74,20,1,Alpha,Beta,EquipmentDamage,28,85,15,False,True,,22,defender-wins,,,,,,,411,462,57,150,0,0,57,0,,
1,75,21,1,Alpha,Beta,Attack,30,58,6,False,True,,31,defender-wins,,,,,,,410,462,50,150,1,0,28,0,,
1,76,21,1,Beta,Alpha,Attack,29,98,30,False,True,,9,defender-wins,,,,,,,410,462,70,102,0,0,69,0,,
1,77,22,1,Alpha,Beta,Grapple,32,49,82,False,False,,,repeat-bothfail,,,,,,,410,462,71,70,0,0,17,45,,
1,78,22,2,Alpha,Beta,Grapple,32,52,60,False,False,,,repeat-bothfail,,,,,,,410,462,69,60,0,0,20,22,,
1,79,22,3,Alpha,Beta,Grapple,32,18,60,True,False,14,,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-2 Grappled Magnitude -2,410,462,101,50,0,0,0,22,,
1,80,22,1,Beta,Alpha,Grapple,32,80,66,False,False,,,repeat-bothfail,,,,,,,410,432,85,50,30,0,48,27,,Defense-Adv6(T3)
1,81,22,2,Beta,Alpha,Grapple,33,38,21,False,True,,18,defender-wins,,,,,,,410,432,114,62,0,0,5,0,,
1,82,23,1,Beta,Alpha,Trip,25,15,27,True,True,10,12,defender-wins,,,,,,,410,432,137,97,0,0,0,0,,
1,83,23,1,Alpha,Beta,Trip,26,38,93,False,False,,,repeat-bothfail,,,,,,,410,432,149,54,0,0,12,55,,
1,84,23,2,Alpha,Beta,Trip,26,99,81,False,False,,,repeat-bothfail,,,,,,,410,405,100,50,0,27,73,42,Trip-Adv7(T3),
1,85,23,3,Alpha,Beta,Trip,28,30,72,False,False,,,repeat-bothfail,,,,,,,410,383,120,50,0,22,2,32,,
1,86,23,4,Alpha,Beta,Trip,28,96,32,False,True,,8,defender-wins,,,,,,,410,383,74,68,0,0,68,0,,
1,87,24,1,Alpha,Beta,Disarm,28,51,5,False,True,,35,defender-wins,,,,,,,410,383,73,113,0,0,23,0,,
1,88,24,1,Beta,Alpha,Disarm,28,42,84,False,False,,,repeat-bothfail,,,,,,,399,383,50,121,0,11,14,45,,
1,89,24,2,Beta,Alpha,Disarm,28,44,58,False,False,,,repeat-bothfail,,,,,,,391,383,50,127,0,8,16,18,Disarm-Adv7(T3),
1,90,24,3,Beta,Alpha,Disarm,28,67,50,False,False,,,repeat-bothfail,,,,,,,391,383,50,110,0,0,39,10,,
1,91,24,4,Beta,Alpha,Disarm,29,60,63,False,False,,,repeat-bothfail,,,,,,,378,383,50,100,0,13,31,23,,
1,92,24,5,Beta,Alpha,Disarm,30,52,56,False,False,,,repeat-bothfail,,,,,,,372,383,50,98,0,6,22,16,,
1,93,24,6,Beta,Alpha,Disarm,30,88,95,False,False,,,repeat-bothfail,,,,,,,327,383,50,60,0,45,58,55,Disarm-Adv8(T3),
1,94,24,7,Beta,Alpha,Disarm,31,5,93,True,False,26,,attacker-wins,Disarm/Break Hold -> FAIL-AND-FALL-BACK -> Inflict Injury,50,Torso,Right,fail-and-fall-back,"Fallback HP -26 (Base Inflict Injury, DEC-030)",258,383,50,105,0,43,0,52,,
1,95,25,1,Beta,Alpha,EquipmentDamage,30,43,53,False,False,,,repeat-bothfail,,,,,,,255,383,50,112,0,3,13,11,,
1,96,25,2,Beta,Alpha,EquipmentDamage,30,74,61,False,False,,,repeat-bothfail,,,,,,,244,383,50,88,0,11,44,19,,
1,97,25,3,Beta,Alpha,EquipmentDamage,31,99,20,False,True,,22,defender-wins,,,,,,,244,372,80,50,11,0,68,0,EquipmentDamage-Adv9(T3),
1,98,25,1,Alpha,Beta,EquipmentDamage,30,40,42,False,False,,,repeat-bothfail,,,,,,,244,372,90,58,0,0,10,2,,
1,99,25,2,Alpha,Beta,EquipmentDamage,30,27,39,True,True,3,1,attacker-wins,Equipment Damage,72,Arms,Right,pass,Location 72(Arms/Right) Tier-1 EquipmentDamaged Magnitude -1,244,372,113,69,0,0,0,0,,
1,100,26,1,Alpha,Beta,Attack,30,36,44,False,False,,,repeat-bothfail,,,,,,,244,372,127,75,0,0,6,4,,Defense-Adv10(T3)
1,101,26,2,Alpha,Beta,Attack,30,87,47,False,False,,,repeat-bothfail,,,,,,,244,372,90,78,0,0,57,7,,
1,102,26,3,Alpha,Beta,Attack,31,37,6,False,True,,34,defender-wins,,,,,,,244,372,103,122,0,0,6,0,,
1,103,26,1,Beta,Alpha,Attack,31,16,58,True,False,15,,attacker-wins,Inflict Injury,,,,,HP -15,229,372,95,150,0,0,0,16,,
1,104,27,1,Alpha,Beta,Grapple,32,38,87,False,False,,,repeat-bothfail,,,,,,,229,372,107,113,0,0,6,47,,
1,105,27,2,Alpha,Beta,Grapple,32,36,33,False,True,,8,defender-wins,,,,,,,229,372,121,130,0,0,4,0,,
1,106,27,1,Beta,Alpha,Grapple,33,91,54,False,False,,,repeat-bothfail,,,,,,,229,372,117,89,0,0,58,12,,
