exchange,round,actor,defender,offense_skill,off_val,off_tier,defense_skill,def_val,def_tier,atk_roll,def_roll,atk_margin,def_margin,repeats,outcome,effect,location,tag_check,record,actor_hp,defender_hp,actor_pe,defender_pe,actor_overflow,defender_overflow,actor_gxp_spent,defender_gxp_spent,actor_adv_skill,defender_adv_skill
1,1,Beta,Alpha,Wound,25,2,Defense,27,2,8,19,17,8,2,attacker_wins,Wounded,"Head (idx=80, Right)",n/a,"Head (idx=80, Right) Tier-1 Wound -1 (bps)",600,600,150,135,0,0,,,,
2,1,Alpha,Beta,Attack,26,2,Defense,25,2,69,11,0,14,1,defender_wins,,,n/a,,600,600,116,150,0,0,,,,
3,2,Alpha,Beta,Disarm,25,2,Defense,27,2,25,99,0,0,1,attacker_wins,Disarm,"Arms (idx=52, Right)",pass (Weapon),"Disarm Tier-2 Magnitude -2 @ Arms (idx=52, Right)",600,600,141,101,0,0,,,,Defense+mes
4,2,Beta,Alpha,Trip,27,2,Defense,30,2,3,85,24,0,2,attacker_wins,Prone,"Torso (idx=30, Right)",n/a,"Prone Tier-2 Magnitude -2 @ Torso (idx=30, Right)",600,600,104,98,0,0,bee,,,
5,3,Beta,Alpha,Wound,26,2,Defense,32,2,40,23,0,9,3,defender_wins,,,n/a,,600,600,116,99,0,0,,,,
6,3,Alpha,Beta,EquipmentDamage,29,2,Defense,30,2,23,7,6,23,5,defender_wins,,,n/a,,600,591,100,105,0,0,bps,bep;bes,,
7,4,Beta,Alpha,Wound+mpx,8,3,Defense,32,2,35,3,0,29,1,defender_wins,,,n/a,,591,600,121,147,0,0,,,,
8,4,Alpha,Beta,EquipmentDamage,29,2,Defense,31,2,15,70,14,0,1,attacker_wins,EquipmentDamage,"Arms (idx=51, Left)",pass (Weapon),"EquipmentDamage Tier-2 Magnitude -2 @ Arms (idx=51, Left)",600,591,150,102,0,0,,,,
9,5,Beta,Alpha,Wound+mpx,8,3,Defense,32,2,5,62,3,0,2,attacker_wins,Wounded,"Torso (idx=50, Right)",n/a,"Torso (idx=50, Right) Tier-3 Wound -3 (bpe)",591,600,153,126,0,0,,bee,,
10,5,Alpha,Beta,ArmorBypass,28,2,Defense,32,2,14,31,14,1,6,attacker_wins,ArmorBypass,"Stomach (Torso, idx=41, Left)",fail_and_fallback (no armor here),Fallback Inflict Injury: 13 HP,595,578,108,133,0,0,bpe;bpe,bex;bpe,,
11,6,Alpha,Beta,Disarm,26,2,Defense,32,2,51,8,0,24,1,defender_wins,,,n/a,,595,578,107,153,0,0,,,,
12,6,Beta,Alpha,Wound+mpx,11,3,Defense,32,2,41,16,0,16,1,defender_wins,,,n/a,,578,595,153,141,0,0,,,,
13,7,Alpha,Beta,Disarm,27,2,Defense,32,2,65,11,0,21,2,defender_wins,,,n/a,,595,578,126,153,0,0,bpe,bpp,,
14,7,Beta,Alpha,Wound,27,2,Defense,32,2,76,9,0,23,1,defender_wins,,,n/a,,578,595,128,151,0,0,,,,
15,8,Beta,Alpha,Disarm,25,2,Defense,32,2,10,30,15,2,1,attacker_wins,Disarm,"Legs (idx=1, Left)",fail_and_fallback (no matching gear),Fallback Inflict Injury: 13 HP,578,582,153,151,0,0,,,,
16,8,Alpha,Beta,EquipmentDamage+bse,13,3,Defense,34,2,34,25,0,9,3,defender_wins,,,n/a,,582,578,151,125,0,0,,bps,,
17,9,Alpha,Beta,Disarm,27,2,Defense,34,2,22,5,5,29,1,defender_wins,,,n/a,,582,578,151,153,0,0,,,,
18,9,Beta,Alpha,Grapple,27,2,Defense,33,2,11,30,16,3,2,attacker_wins,Grappled,"Legs (idx=11, Left)",n/a,"Grappled Tier-1 Magnitude -1 @ Legs (idx=11, Left)",578,582,153,130,0,0,,bep,,
19,10,Alpha,Beta,Disarm,29,2,Defense,34,2,6,44,23,0,2,attacker_wins,Disarm,"Arms (idx=60, Right)",pass (Weapon),"Disarm Tier-2 Magnitude -2 @ Arms (idx=60, Right)",582,578,134,153,0,0,,,,Defense+msx
20,10,Beta,Alpha,Wound,27,2,Defense,33,2,1,30,26,3,1,attacker_wins,Wounded,"Legs (idx=10, Right)",n/a,"Legs (idx=10, Right) Tier-1 Wound -1 (bps)",578,582,153,152,0,0,,,,
21,11,Alpha,Beta,Grapple,25,2,Defense,34,2,8,43,17,0,1,attacker_wins,Grappled,"Head (idx=80, Right)",n/a,"Grappled Tier-2 Magnitude -2 @ Head (idx=80, Right)",582,578,152,153,0,0,,,,
22,11,Beta,Alpha,Wound,27,2,Defense,33,2,40,20,0,13,3,defender_wins,,,n/a,,578,582,153,152,0,0,bpx,bps,,
23,12,Beta,Alpha,Disarm,25,2,Defense,34,2,8,23,17,11,3,attacker_wins,Disarm,"Head (idx=80, Right)",fail_and_fallback (no matching gear),Fallback Inflict Injury: 6 HP,578,576,153,152,0,0,bse,,,
24,12,Alpha,Beta,Disarm,29,2,Defense,35,2,15,84,14,0,1,attacker_wins,Disarm,"Arms (idx=51, Left)",pass (Weapon),"Disarm Tier-2 Magnitude -2 @ Arms (idx=51, Left)",576,578,152,120,0,0,,,,
25,13,Beta,Alpha,Trip,28,2,Defense,34,2,70,30,0,4,1,defender_wins,,,n/a,,578,576,101,152,0,0,,,,
26,13,Alpha,Beta,EquipmentDamage+bse,18,3,Defense,35,2,3,42,15,0,2,attacker_wins,EquipmentDamage,"Torso (idx=30, Right)",pass (Body armor),"EquipmentDamage Tier-3 Magnitude -3 @ Torso (idx=30, Right)",576,578,150,103,0,0,,bsp,,
27,14,Beta,Alpha,Wound,27,2,Defense,35,2,16,40,11,0,2,attacker_wins,Wounded,"Arms (idx=61, Left)",n/a,"Arms (idx=61, Left) Tier-2 Wound -2 (bps)",578,576,153,114,0,0,,bes,,
28,14,Alpha,Beta,ArmorBypass,28,2,Defense,36,2,4,87,24,0,1,attacker_wins,ArmorBypass,"Abdomen Wall (Torso, idx=40, Right)",fail_and_fallback (no armor here),Fallback Inflict Injury: 24 HP,576,554,153,117,0,0,,,,
29,15,Beta,Alpha,ArmorBypass,27,2,Defense,36,2,21,23,6,13,2,defender_wins,,,n/a,,554,576,100,135,0,0,bss,,,
30,15,Alpha,Beta,EquipmentDamage,30,2,Defense,36,2,71,11,0,25,1,defender_wins,,,n/a,,576,554,115,140,0,0,bps,,,
31,16,Beta,Alpha,Wound,27,2,Defense,36,2,20,38,7,0,1,attacker_wins,Wounded,"Legs (idx=2, Right)",n/a,"Legs (idx=2, Right) Tier-2 Wound -2 (bpe)",554,576,153,128,0,0,,,,
32,16,Alpha,Beta,Attack,26,2,Defense,37,2,18,75,8,0,1,attacker_wins,Inflict Injury,,n/a,Inflict Injury: 8 HP,576,546,153,129,0,0,,,,
33,17,Beta,Alpha,Wound,28,2,Defense,37,2,14,80,14,0,2,attacker_wins,Wounded,"Torso (idx=41, Left)",n/a,"Torso (idx=41, Left) Tier-2 Wound -2 (bps)",546,576,153,105,0,0,,bpe,,
34,17,Alpha,Beta,Attack,27,2,Defense,38,2,22,26,5,12,2,defender_wins,,,n/a,,576,546,122,145,0,0,,,,
35,18,Beta,Alpha,ArmorBypass,28,2,Defense,38,2,16,82,12,0,2,attacker_wins,ArmorBypass,"Forearm (Arms, idx=61, Left)",fail_and_fallback (no armor here),Fallback Inflict Injury: 12 HP,546,564,150,103,0,0,bsx,,,
36,18,Alpha,Beta,Grapple,25,2,Defense,39,2,20,94,5,0,1,attacker_wins,Grappled,"Legs (idx=2, Right)",n/a,"Grappled Tier-2 Magnitude -2 @ Legs (idx=2, Right)",564,546,134,107,0,0,,,,
