actor,atk_margin,atk_overflow,atk_roll,atk_skill_before,atk_skill_gain,atk_xp,combat,def_margin,def_overflow,def_roll,def_skill_before,def_skill_gain,def_xp,defender,effect,effect_mag_after_ad,effect_tier,exchange,hp_after_actor,hp_after_defender,hp_damage,location_index,outcome,skill,tag_check,zone
Alpha,23,0,2,25,0,0,1,,0,58,25,1,33,Beta,Inflict Injury,,,1,600,577,23,,attacker-wins,Attack,,
Alpha,13,0,12,25,0,0,1,,0,85,26,2,59,Beta,Grappled,1,2,2,600,577,,21,attacker-wins,Grapple,pass,Legs
Alpha,2,0,23,25,0,0,1,,0,65,28,1,37,Beta,Prone,1,2,3,600,577,,32,attacker-wins,Trip,pass,Torso
Alpha,,0,53,25,1,28,1,,0,42,29,0,13,Beta,Disarm,,,4,600,577,,,repeat,Disarm,,
Alpha,,0,63,25,1,38,1,,0,33,29,0,4,Beta,Equipment Damage,,,5,600,577,,,repeat,Equipment Damage,,
Beta,7,0,18,25,0,0,1,,0,73,25,1,48,Alpha,Inflict Injury,,,6,577,593,7,,attacker-wins,Attack,,
Beta,,0,98,25,2,73,1,,0,35,26,0,9,Alpha,Grappled,,,7,577,593,,,repeat,Grapple,,
Beta,,0,97,25,2,72,1,,0,65,26,1,39,Alpha,Prone,,,8,577,593,,,repeat,Trip,,
Beta,13,0,12,25,0,0,1,,0,56,27,1,29,Alpha,Disarm,,2,9,577,580,13,21,attacker-wins,Disarm,fail-and-fall-back,Legs
Beta,,0,49,25,0,24,1,12,0,16,28,0,0,Alpha,Equipment Damage,,,10,577,580,,,defender-wins,Equipment Damage,,
Alpha,,0,76,25,2,51,1,,0,69,29,1,40,Beta,Inflict Injury,,,11,580,577,,,repeat,Attack,,
Alpha,,0,84,25,2,59,1,,0,65,30,1,35,Beta,Grappled,,,12,580,577,,,repeat,Grapple,,
Alpha,,0,63,25,1,38,1,,29,88,31,1,57,Beta,Prone,,,13,580,548,,,repeat,Trip,,
Alpha,,14,80,26,2,54,1,,21,71,32,1,39,Beta,Disarm,,,14,566,527,,,repeat,Disarm,,
Alpha,,44,94,26,2,68,1,,43,93,33,1,60,Beta,Equipment Damage,,,15,522,484,,,repeat,Equipment Damage,,
Beta,,28,78,25,2,53,1,,0,41,28,0,13,Alpha,Inflict Injury,,,16,456,522,,,repeat,Attack,,
Beta,,9,59,27,1,32,1,20,0,8,28,0,0,Alpha,Grappled,,,17,447,522,,,defender-wins,Grapple,,
Beta,,4,54,27,1,27,1,,0,97,28,2,69,Alpha,Prone,,,18,443,522,,,repeat,Trip,,
Beta,,31,81,25,2,56,1,,44,98,30,2,68,Alpha,Disarm,,,19,412,478,,,repeat,Disarm,,
Beta,4,0,21,25,0,0,1,,4,54,32,0,22,Alpha,Equipment Damage,,2,20,412,470,4,12,attacker-wins,Equipment Damage,fail-and-fall-back,Legs
Alpha,9,0,18,27,0,0,1,,0,75,34,1,41,Beta,Inflict Injury,,,21,470,403,9,,attacker-wins,Attack,,
Alpha,,0,49,27,0,22,1,31,0,4,35,0,0,Beta,Grappled,,,22,470,403,,,defender-wins,Grapple,,
Alpha,,0,36,26,0,10,1,,0,86,35,1,51,Beta,Prone,,,23,470,403,,,repeat,Trip,,
Alpha,,0,83,28,1,55,1,28,0,8,36,0,0,Beta,Disarm,,,24,470,403,,,defender-wins,Disarm,,
Alpha,,8,72,28,1,44,1,5,0,31,36,0,0,Beta,Equipment Damage,,,25,462,403,,,defender-wins,Equipment Damage,,
Beta,,0,97,27,2,70,1,,23,73,32,1,41,Alpha,Inflict Injury,,,26,403,439,,,repeat,Attack,,
Beta,5,0,23,28,0,0,1,9,0,24,33,0,0,Alpha,Grappled,,,27,403,439,,,defender-wins,Grapple,,
Beta,25,0,3,28,0,0,1,,23,99,33,1,66,Alpha,Prone,1,2,28,403,416,,30,attacker-wins,Trip,pass,Torso
Beta,,0,79,27,1,52,1,,0,45,34,0,11,Alpha,Disarm,,,29,403,416,,,repeat,Disarm,,
Beta,16,0,9,25,0,0,1,,17,72,34,1,38,Alpha,Equipment Damage,,2,30,403,383,16,90,attacker-wins,Equipment Damage,fail-and-fall-back,Head
Alpha,,0,28,27,0,1,1,,0,85,36,1,49,Beta,Inflict Injury,,,31,383,403,,,repeat,Attack,,
Alpha,,0,62,27,1,35,1,13,0,24,37,0,0,Beta,Grappled,,,32,383,403,,,defender-wins,Grapple,,
Alpha,,12,72,26,1,46,1,,0,85,37,1,48,Beta,Prone,,,33,371,403,,,repeat,Trip,,
Alpha,,20,70,29,1,41,1,,0,85,38,1,47,Beta,Disarm,,,34,351,403,,,repeat,Disarm,,
Alpha,,38,88,29,2,59,1,,0,61,39,0,22,Beta,Equipment Damage,,,35,313,403,,,repeat,Equipment Damage,,
Beta,,25,85,29,1,56,1,,36,86,35,1,51,Alpha,Inflict Injury,,,36,378,277,,,repeat,Attack,,
Beta,4,0,24,28,0,0,1,,48,98,36,1,62,Alpha,Grappled,1,2,37,378,229,,42,attacker-wins,Grapple,pass,Torso
Beta,14,0,14,28,0,0,1,,38,88,37,1,51,Alpha,Prone,1,2,38,378,191,,41,attacker-wins,Trip,pass,Torso
Beta,,0,47,28,0,19,1,,50,100,38,1,62,Alpha,Disarm,,,39,378,141,,,repeat,Disarm,,
Beta,,0,74,25,1,49,1,,39,89,39,1,50,Alpha,Equipment Damage,,,40,378,102,,,repeat,Equipment Damage,,
Alpha,,0,33,27,0,6,1,10,0,29,39,0,0,Beta,Inflict Injury,,,41,102,378,,,defender-wins,Attack,,
Alpha,7,0,21,28,0,0,1,,0,61,39,0,22,Beta,Grappled,1,2,42,102,378,,12,attacker-wins,Grapple,pass,Legs
Alpha,,0,68,27,1,41,1,,0,89,39,1,50,Beta,Prone,,,43,102,378,,,repeat,Trip,,
Alpha,,7,85,30,1,55,1,,14,76,40,0,36,Beta,Disarm,,,44,95,364,,,repeat,Disarm,,
Alpha,,0,43,31,0,12,1,,0,47,40,0,7,Beta,Equipment Damage,,,45,95,364,,,repeat,Equipment Damage,,
Beta,,0,32,30,0,2,1,,34,91,40,1,51,Alpha,Inflict Injury,,,46,364,61,,,repeat,Attack,,
Beta,,0,64,28,1,36,1,,0,42,41,0,1,Alpha,Grappled,,,47,364,61,,,repeat,Grapple,,
Beta,,13,70,28,1,42,1,32,0,9,41,0,0,Alpha,Prone,,,48,351,61,,,defender-wins,Trip,,
Beta,,4,54,28,0,26,1,29,0,12,41,0,0,Alpha,Disarm,,,49,347,61,,,defender-wins,Disarm,,
Beta,,0,42,26,0,16,1,9,0,32,41,0,0,Alpha,Equipment Damage,,,50,347,61,,,defender-wins,Equipment Damage,,
Alpha,,0,99,27,2,72,1,,7,65,40,0,25,Beta,Inflict Injury,,,51,61,340,,,repeat,Attack,,
Alpha,5,0,23,28,0,0,1,,3,53,40,0,13,Beta,Grappled,1,2,52,61,337,,32,attacker-wins,Grapple,pass,Torso
Alpha,25,0,3,28,0,0,1,,39,89,40,1,49,Beta,Prone,1,2,53,61,298,,30,attacker-wins,Trip,pass,Torso
Alpha,,0,43,31,0,12,1,,25,75,41,0,34,Beta,Disarm,,,54,61,273,,,repeat,Disarm,,
Alpha,,0,97,31,2,66,1,,34,84,41,1,43,Beta,Equipment Damage,,,55,61,239,,,repeat,Equipment Damage,,
Beta,,11,61,30,1,31,1,,0,95,41,1,54,Alpha,Inflict Injury,,,56,228,61,,,repeat,Attack,,
Beta,,22,72,29,1,43,1,,32,90,42,1,48,Alpha,Grappled,,,57,206,29,,,repeat,Grapple,,
Beta,,9,59,29,1,30,1,,0,47,43,0,4,Alpha,Prone,,,58,197,29,,,repeat,Trip,,
Beta,,20,70,28,1,42,1,5,0,38,43,0,0,Alpha,Disarm,,,59,177,29,,,defender-wins,Disarm,,
Beta,6,0,20,26,0,0,1,,26,91,43,1,48,Alpha,Equipment Damage,,2,60,177,-3,6,2,attacker-wins,Equipment Damage,fail-and-fall-back,Legs
Beta,,0,93,25,2,68,2,,0,68,25,1,43,Alpha,Inflict Injury,,,1,600,600,,,repeat,Attack,,
Beta,,0,44,25,0,19,2,,0,34,26,0,8,Alpha,Grappled,,,2,600,600,,,repeat,Grapple,,
